date,site,composite_index,grade,AQI,pm2.5,pm10,o3,so2,no2,co
2025/9/1,葫芦岛市,3.63,良,92,39,50,150,12,18,0.9
2025/9/1,阳泉市,3.57,良,92,28,48,150,12,29,0.9
2025/9/1,太原市,3.53,良,100,26,52,159,11,27,0.8
2025/9/1,秦皇岛市,3.39,轻度污染,109,21,56,169,9,23,0.8
2025/9/1,沈阳市,3.31,良,57,27,52,108,7,27,1.3
2025/9/1,晋中市,3.27,轻度污染,120,26,48,181,11,15,0.6
2025/9/1,吕梁市,3.27,良,95,22,58,153,4,24,0.7
2025/9/1,临汾市,3.26,良,88,28,58,145,5,17,0.9
2025/9/1,泸州市,3.22,良,79,34,48,134,5,21,0.5
2025/9/1,鹤壁市,3.19,良,95,32,49,153,7,14,0.6
2025/9/1,锦州市,3.16,良,71,35,50,125,6,13,1
2025/9/1,邢台市,3.14,轻度污染,130,24,47,192,6,12,0.7
2025/9/1,新乡市,3.1,良,100,29,51,159,5,13,0.6
2025/9/1,忻州市,3.06,良,80,24,44,135,7,24,0.7
2025/9/1,嘉兴市,3.05,良,94,24,37,152,6,23,0.8
2025/9/1,保定市,3.04,良,96,27,53,155,4,14,0.5
2025/9/1,石家庄市,2.98,轻度污染,112,26,48,173,4,10,0.6
2025/9/1,西宁市,2.9,良,67,24,44,120,15,15,0.8
2025/9/1,郑州市,2.89,良,100,23,43,159,5,16,0.6
2025/9/1,安阳市,2.88,良,95,26,43,154,6,13,0.6
2025/9/1,德阳市,2.87,良,76,23,38,131,3,23,0.9
2025/9/1,西安市,2.87,良,92,18,42,150,3,25,0.6
2025/9/1,大同市,2.84,良,85,18,43,142,9,20,0.7
2025/9/1,邯郸市,2.82,轻度污染,102,28,38,162,6,10,0.5
2025/9/1,重庆市,2.81,良,85,25,36,142,8,17,0.6
2025/9/1,兰州市,2.81,优,49,22,44,98,12,25,0.5
2025/9/1,朔州市,2.81,良,72,18,57,126,6,20,0.4
2025/9/1,咸阳市,2.79,良,89,20,45,146,4,19,0.5
2025/9/1,洛阳市,2.76,良,89,21,37,146,9,17,0.6
2025/9/1,开封市,2.75,良,85,24,38,142,5,14,0.8
2025/9/1,绵阳市,2.75,良,73,21,37,127,8,21,0.7
2025/9/1,焦作市,2.74,良,95,22,42,153,6,12,0.6
2025/9/1,上海市,2.73,良,84,19,31,140,6,25,0.6
2025/9/1,天津市,2.71,良,89,24,38,146,7,12,0.6
2025/9/1,长治市,2.71,良,75,23,38,129,8,14,0.9
2025/9/1,大连市,2.69,良,90,26,29,148,7,15,0.5
2025/9/1,广安市,2.69,良,95,24,34,153,6,12,0.6
2025/9/1,东莞市,2.69,轻度污染,108,14,28,168,6,25,0.5
2025/9/1,成都市,2.65,良,79,18,33,134,3,24,0.7
2025/9/1,潍坊市,2.64,轻度污染,108,15,30,168,5,20,0.6
2025/9/1,包头市,2.61,良,88,15,33,145,10,19,0.6
2025/9/1,宝鸡市,2.6,良,89,19,35,146,8,16,0.5
2025/9/1,运城市,2.58,良,74,19,42,128,7,12,0.9
2025/9/1,眉山市,2.57,良,64,14,39,116,13,22,0.5
2025/9/1,湖州市,2.56,良,57,22,32,108,7,21,0.6
2025/9/1,渭南市,2.56,良,75,20,35,129,5,18,0.6
2025/9/1,萍乡市,2.52,良,54,19,26,104,14,15,1.4
2025/9/1,德州市,2.52,良,90,16,27,148,10,15,0.8
2025/9/1,马鞍山市,2.49,优,42,22,34,83,9,19,0.9
2025/9/1,南充市,2.48,良,58,26,39,109,4,14,0.3
2025/9/1,淄博市,2.46,良,95,15,26,154,7,19,0.4
2025/9/1,湘潭市,2.45,良,67,21,33,120,5,14,0.8
2025/9/1,株洲市,2.45,良,74,20,30,128,8,12,0.9
2025/9/1,衡水市,2.45,良,87,18,41,144,6,10,0.4
2025/9/1,杭州市,2.45,良,69,18,29,122,7,20,0.6
2025/9/1,平顶山市,2.45,良,81,17,33,137,6,15,0.6
2025/9/1,菏泽市,2.43,良,99,16,30,158,6,14,0.4
2025/9/1,晋城市,2.43,良,83,15,37,139,4,14,0.7
2025/9/1,南通市,2.41,良,55,16,26,105,5,25,0.9
2025/9/1,周口市,2.4,良,76,17,34,131,5,13,0.8
2025/9/1,东营市,2.4,良,90,13,25,148,6,20,0.6
2025/9/1,濮阳市,2.39,良,83,20,33,139,5,10,0.6
2025/9/1,广州市,2.38,良,94,12,26,152,6,21,0.4
2025/9/1,许昌市,2.37,良,80,19,32,136,3,13,0.6
2025/9/1,遂宁市,2.37,良,69,17,40,122,6,14,0.4
2025/9/1,宜宾市,2.36,良,56,22,32,107,6,12,0.8
2025/9/1,漯河市,2.36,良,81,19,27,137,6,13,0.6
2025/9/1,朝阳市,2.35,优,48,19,36,96,6,17,0.7
2025/9/1,济南市,2.35,良,94,11,22,152,8,20,0.6
2025/9/1,益阳市,2.34,优,43,26,42,86,5,8,0.7
2025/9/1,自贡市,2.34,良,69,18,30,122,7,16,0.5
2025/9/1,绍兴市,2.34,良,87,17,26,144,6,15,0.4
2025/9/1,乐山市,2.33,优,50,20,32,99,6,16,0.7
2025/9/1,银川市,2.33,良,73,13,37,127,7,17,0.4
2025/9/1,达州市,2.32,良,51,17,36,101,4,21,0.4
